iter	Passed	Remaining
0	126	126234
1	127	63866
2	129	43026
3	130	32591
4	132	26386
5	134	22258
6	136	19380
7	137	17105
8	139	15323
9	140	13887
10	141	12705
11	142	11714
12	143	10869
13	144	10147
14	144	9513
15	145	8961
16	146	8466
17	147	8024
18	147	7629
19	148	7286
20	149	6969
21	150	6673
22	150	6399
23	151	6148
24	151	5916
25	152	5701
26	152	5503
27	153	5318
28	153	5145
29	154	4984
30	154	4832
31	155	4690
32	155	4557
33	155	4431
34	156	4313
35	156	4201
36	157	4095
37	157	3995
38	158	3899
39	158	3809
40	159	3723
41	159	3641
42	160	3563
43	160	3488
44	161	3417
45	161	3349
46	161	3283
47	162	3221
48	162	3162
49	163	3109
50	164	3055
51	164	3002
52	165	2950
53	165	2901
54	166	2853
55	166	2807
56	166	2762
57	167	2719
58	167	2678
59	168	2638
60	168	2599
61	169	2561
62	169	2524
63	170	2489
64	170	2454
65	171	2421
66	171	2389
67	172	2357
68	172	2327
69	172	2297
70	173	2268
71	173	2240
72	174	2212
73	174	2186
74	175	2160
75	175	2135
76	176	2110
77	176	2088
78	177	2066
79	178	2047
80	178	2026
81	179	2004
82	179	1981
83	179	1961
84	180	1942
85	181	1923
86	181	1904
87	182	1886
88	182	1868
89	183	1850
90	183	1833
91	184	1816
92	184	1799
93	185	1783
94	185	1768
95	186	1752
96	186	1737
97	187	1721
98	187	1707
99	188	1693
100	188	1679
101	189	1666
102	189	1652
103	190	1639
104	190	1627
105	191	1614
106	191	1601
107	192	1591
108	193	1579
109	193	1568
110	194	1556
111	194	1544
112	195	1533
113	195	1522
114	196	1511
115	196	1500
116	197	1488
117	197	1478
118	198	1468
119	198	1458
120	199	1448
121	199	1438
122	200	1428
123	200	1419
124	201	1409
125	201	1400
126	202	1391
127	202	1382
128	203	1374
129	204	1366
130	204	1359
131	205	1351
132	206	1343
133	206	1336
134	207	1329
135	208	1321
136	208	1314
137	209	1306
138	209	1298
139	210	1291
140	210	1283
141	211	1275
142	211	1268
143	212	1261
144	212	1254
145	213	1246
146	213	1240
147	214	1233
148	214	1226
149	215	1219
150	215	1212
151	216	1206
152	216	1199
153	217	1193
154	217	1186
155	218	1180
156	218	1174
