iter	Passed	Remaining
0	133	133802
1	134	67151
2	135	44900
3	135	33772
4	136	27112
5	137	22704
6	137	19568
7	138	17186
8	139	15323
9	139	13836
10	140	12623
11	141	11614
12	141	10757
13	142	10021
14	142	9376
15	143	8812
16	143	8318
17	144	7877
18	144	7484
19	145	7133
20	146	6811
21	146	6521
22	147	6258
23	147	6017
24	148	5791
25	149	5584
26	149	5390
27	150	5211
28	150	5044
29	151	4889
30	151	4742
31	152	4606
32	152	4482
33	153	4362
34	154	4248
35	154	4141
36	155	4039
37	155	3943
38	156	3851
39	156	3763
40	157	3680
41	157	3601
42	158	3526
43	158	3453
44	159	3384
45	160	3318
46	160	3256
47	161	3195
48	161	3136
49	162	3080
50	162	3026
51	163	2974
52	163	2924
53	164	2875
54	164	2828
55	165	2783
56	165	2739
57	166	2696
58	166	2655
59	166	2616
60	167	2577
61	167	2540
62	168	2504
63	168	2469
64	169	2435
65	169	2403
66	170	2371
67	170	2337
68	170	2306
69	171	2277
70	171	2249
71	172	2221
72	172	2195
73	173	2168
74	173	2143
75	174	2118
76	174	2094
77	175	2070
78	175	2047
79	176	2025
80	176	2003
81	177	1982
82	177	1961
83	178	1941
84	178	1920
85	178	1900
86	179	1880
87	179	1861
88	180	1843
89	180	1826
90	181	1808
91	181	1791
92	182	1775
93	182	1758
94	182	1742
95	183	1727
96	183	1711
97	184	1696
98	184	1682
99	185	1667
100	185	1653
101	186	1637
102	186	1624
103	186	1610
104	187	1597
105	187	1584
106	188	1572
107	188	1559
108	189	1547
109	189	1535
110	190	1523
111	190	1513
112	191	1501
113	191	1490
114	192	1479
115	192	1468
116	193	1458
117	193	1447
118	194	1436
119	194	1426
120	194	1416
121	195	1406
122	195	1395
123	196	1385
124	196	1376
125	197	1366
126	197	1357
127	197	1347
128	198	1338
129	198	1330
130	199	1321
131	199	1313
132	200	1304
133	200	1296
134	201	1288
135	201	1280
136	202	1272
137	202	1264
138	202	1256
139	203	1249
140	203	1242
141	204	1235
142	204	1227
143	205	1220
144	205	1213
145	206	1206
146	206	1199
147	207	1193
148	207	1186
149	208	1179
150	208	1173
151	209	1166
152	209	1161
153	210	1154
154	210	1148
155	211	1142
156	211	1136
157	212	1130
158	212	1124
159	213	1118
160	213	1112
161	214	1107
162	214	1101
163	214	1095
164	215	1090
165	215	1084
166	216	1079
167	216	1073
168	217	1068
169	217	1063
170	218	1058
171	218	1053
172	219	1048
173	219	1043
174	220	1038
175	220	1033
176	221	1028
177	221	1023
178	222	1018
179	222	1014
180	222	1008
181	223	1003
182	223	999
183	224	994
184	224	989
185	225	985
186	225	980
187	226	976
188	226	972
189	227	967
190	227	963
191	227	959
192	228	955
193	228	950
194	229	946
195	229	942
196	230	938
197	230	934
198	231	930
199	231	926
200	232	922
201	232	918
202	233	915
203	233	911
204	234	907
205	234	903
206	234	900
207	235	896
208	235	892
209	236	889
210	236	885
211	237	882
212	237	878
213	238	875
214	238	871
215	239	868
216	239	864
217	240	861
218	240	857
219	241	854
220	241	851
221	241	847
222	242	844
223	242	841
224	243	838
225	243	835
226	244	831
227	244	828
228	245	825
229	245	822
230	246	819
231	246	816
232	247	813
233	247	810
234	247	807
235	248	804
236	248	801
237	249	798
238	249	795
239	250	792
240	250	789
241	251	786
242	251	783
243	252	781
244	252	778
245	253	775
246	253	772
247	253	770
248	254	767
249	254	764
250	255	762
251	255	759
252	256	756
253	256	754
254	257	751
255	257	748
256	258	746
257	258	743
258	259	741
259	259	738
260	260	736
261	260	733
262	260	731
263	261	729
264	262	726
265	262	724
266	263	722
267	263	719
268	264	717
269	264	715
270	265	712
271	265	710
272	265	708
273	266	706
274	266	703
275	267	701
276	267	699
277	268	696
278	268	694
279	269	692
280	269	690
281	270	688
282	270	686
283	271	683
284	271	681
285	272	679
286	272	677
287	273	675
288	273	673
289	274	670
290	274	668
291	274	666
292	275	664
293	275	662
294	276	660
295	277	658
296	277	656
297	277	654
298	278	652
299	278	650
300	279	648
301	279	646
302	280	644
303	280	642
304	281	640
305	281	638
306	282	637
307	282	635
308	283	633
309	283	631
310	284	629
311	284	627
312	285	625
313	285	623
314	286	622
315	286	620
316	287	618
317	287	616
318	287	614
319	288	612
320	288	611
321	289	609
322	289	607
323	290	605
324	290	604
325	291	602
326	291	600
327	292	598
328	292	597
329	293	595
330	293	593
331	294	591
332	294	590
333	295	588
334	295	586
335	296	585
336	296	583
337	296	581
338	297	579
339	297	578
340	298	576
341	298	575
342	299	573
343	299	571
344	300	570
345	300	568
346	301	566
347	301	565
348	302	563
349	302	562
350	303	560
351	303	558
352	304	557
353	304	555
354	304	554
355	305	552
356	305	551
357	306	549
358	306	547
359	307	546
360	307	544
361	308	543
362	308	541
363	309	540
364	309	538
365	310	537
366	310	535
367	311	534
368	311	532
369	312	531
370	312	530
371	313	528
372	313	527
373	314	525
374	314	524
375	315	522
376	315	521
377	315	519
378	316	518
379	316	517
380	317	515
381	317	514
382	318	512
383	318	511
384	319	510
385	320	509
386	320	508
387	321	506
388	321	505
389	322	504
390	322	502
391	323	501
392	323	500
393	324	498
394	324	497
395	325	496
396	325	494
397	326	493
398	326	491
399	327	490
400	327	489
401	328	488
402	328	486
403	329	485
404	329	484
405	329	482
406	330	481
407	330	480
408	331	478
409	331	477
410	332	476
411	332	475
412	333	473
413	333	472
414	334	471
415	334	470
416	335	468
417	335	467
418	336	466
419	336	465
420	337	463
421	337	462
422	338	461
423	338	460
424	339	458
425	339	457
426	340	456
427	340	455
428	341	453
429	341	452
430	341	451
431	342	450
432	343	449
433	343	448
434	344	446
435	344	445
436	345	444
437	345	443
438	346	442
439	346	441
440	347	439
441	347	438
442	348	437
443	348	436
444	349	435
445	349	434
446	350	433
447	350	431
448	350	430
449	351	429
450	351	428
451	352	427
452	352	426
453	353	425
454	353	423
455	354	422
456	354	421
457	355	420
458	355	419
459	356	418
460	356	417
461	357	416
462	357	414
463	358	413
464	358	412
465	359	411
466	359	410
467	360	409
468	360	408
469	361	407
470	361	406
471	362	405
472	362	404
473	363	403
474	363	402
475	364	400
476	364	399
477	365	398
478	365	397
479	366	396
480	366	395
481	367	394
482	367	393
483	368	392
484	368	391
485	369	390
486	369	389
487	370	388
